チャプター,サイド（敵０・プレイヤー１）,ストーリー,切り替えbool
1,1,僕…カイヌシのところに帰りたいんだ,TRUE
1,1,君は道を知ってる？,TRUE
1,0,……,TRUE
1,1,……知らないよね,TRUE
1,1,頭のお花可愛いね,TRUE
1,0,ア…ウゥ…ア…ゲ…?,TRUE
1,1,お花をくれるの？ありがとう,FALSE
2,1,ねぇ…僕の帰り道知らない？,TRUE
2,0,……？,TRUE
2,1,カイヌシとはぐれちゃったんだ,TRUE
2,0,アッチ…アッチ…ニ…,TRUE
2,1,この先に行けばいいの？,TRUE
2,0,……（コクリ）,FALSE
3,1,君は…動物？それともロボット？,TRUE
3,0,ピピピピ…ピーーー…,TRUE
3,1,おしゃべりはできなそうだね,TRUE
3,1,僕…オウチ帰れるかな…,TRUE
3,1,オナカスイタナ…,FALSE
4,0,グゥゥ…グゥゥゥ…,TRUE
4,1,寝てる…,TRUE
4,1,さきにいこう,FALSE
5,0,タスケテ…タスケテ…,TRUE
5,0,ウゴケナイ…ウゴケナイ…,TRUE
5,1,木に羽が引っかかってる！取ってあげるよ,TRUE
5,1,ガザガザ…ガザ…,TRUE
5,1,はい、とれたよ,TRUE
5,0,アリガトウ…アリガトウ…,TRUE
5,1,どういたしまして,TRUE
5,0,オレイ…ナニカ、シテホシイ？,TRUE
5,1,なにかしてくれるの？,TRUE
5,0,ウン…ナニシテホシイ？,TRUE
5,1,じゃぁ、ボク名前がないから,TRUE
5,1,ボクニ、チョウダイ？,TRUE
5,0,ウーン……ミダ、ミダハ？？,TRUE
5,1,”ミダ”？いいね、素敵な名前だ,TRUE
5,1,アリガトウ！ボクに名前ができた！,FALSE
6,0,カタカタ…,TRUE
6,1,お腹減ったなぁ…君食べ物もってない？,TRUE
6,0,*?/#%&?**?,TRUE
6,1,持ってないかー…,TRUE
6,1,君の体は大きいね,TRUE
6,1,イイナー…,TRUE
6,0,………##””?,FALSE
7,1,うわぁ…ちょっと不気味…,TRUE
7,0,イギ・・・ギ…,TRUE
7,1,右目と左目で大きさが違うんだね,TRUE
7,1,見づらそうだな,TRUE
7,0,ゲェギギ…ギグ…ガ…,TRUE
7,1,そうだ、僕が助けてあげるよ,TRUE
7,1,グサッッッ…,TRUE
7,0,ギィイイイア゛ァァッ…ギィギ,TRUE
7,1,これで見やすくなったでしょ？,FALSE
8,0,ゥ....クルナ、クルナ,TRUE
8,1,どうして？なんでそんなこというの？,TRUE
8,0,オソロシイヤツ…ヘンナカオノヤツ,TRUE
8,0,チカヨルナ,TRUE
8,1,そうかな…変なカオかな…,TRUE
8,1,そうだ！キミのそのキレイな目を貰えば,TRUE
8,1,きっと”ステキ”なカオになる…,TRUE
8,1,ねぇ…それ,TRUE
8,1,ほしいな…,TRUE
8,1,ボクノ　タメに…クレル　ﾖﾈ？,FALSE
